Company Code,Fiscal Year,Posting period,Posting Date,Document Date,G/L Account,Reference,Document Currency,Tax Code,Amount in Doc. Curr.,Document Type,Value date,Text
1234,2025,7,7/29/2025,6/15/2025,13003115,925,GBP,YA,"-2,052.73",RE,7/28/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/28/2025,6/15/2025,13003115,782,GBP,YA,"-2,156.00",RE,7/28/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/29/2025,6/15/2025,13003115,925,GBP,YA,"-1,784.99",RE,7/28/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/18/2025,7/16/2025,13003115,638,USD,YI,920.00,RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,778,USD,YI,"1,542.84",RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/23/2025,7/23/2025,13003115,964,USD,YI,"2,070.00",RE,7/23/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/1/2025,6/30/2025,13003115,4,EUR,YI,"2,242.43",RE,6/30/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/1/2025,6/30/2025,13003115,4,EUR,YI,249.16,RE,6/30/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/21/2025,5/12/2025,13003115,222,GBP,YA,"28,495.85",RE,7/21/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/22/2025,7/15/2025,13003115,80,USD,YA,"9,599.28",RE,7/23/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/21/2025,7/1/2025,13003115,126,GBP,YA,83.38,RE,7/21/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,406,USD,YI,"1,954.84",RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,4/30/2025,13003115,220,USD,YA,657.11,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/20/2025,7/15/2025,13003115,412,GBP,YA,"2,484.00",RE,7/20/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,259,USD,YI,211.14,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/8/2025,6/10/2025,13003115,712,USD,YI,"25,101.52",RE,7/8/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/22/2025,7/9/2025,13003115,244,EUR,YI,"15,580.11",RE,7/22/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/22/2025,7/15/2025,13003115,531,USD,YA,"3,968.90",RE,7/22/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/1/2025,6/23/2025,13003115,501,EUR,YI,925.96,RE,6/30/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,997,USD,YI,606.07,RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/7/2025,6/19/2025,13003115,445,EUR,YA,195.50,RE,7/13/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,306,USD,YI,51.98,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/21/2025,6/18/2025,13003115,601,EUR,YI,"2,273.79",RE,7/21/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,724,USD,YA,"3,668.50",RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/1/2025,7/1/2025,13003115,700,EUR,YI,"1,854.41",RE,7/4/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/1/2025,7/1/2025,13003115,700,EUR,YI,206.05,RE,7/4/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,452,USD,YI,771.42,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
